,Region,Actas Procesadas (%),Peru Libre,Fuerza Popular,Votos en Blanco,Votos Nulos,Proyeccion PL,Proyeccion FP,Actas Contabilizadas (%),Actas Enviadas al JNE,Actualizacion
0,Lambayeque,100.000,289784,403216,4984,48129,0,0,100.0,0,12/06/2021 07:24 h
16,Cajamarca,100.000,509638,205403,7639,41669,0,0,100.0,0,12/06/2021 07:24 h
29,Todos,100.000,8830453,8779464,121410,1105863,0,0,99.888,97,12/06/2021 07:24 h
28,Asia,100.000,1016,11350,48,370,0,0,100.0,0,12/06/2021 07:24 h
27,America,100.000,66634,145661,1256,18053,0,0,99.467,12,12/06/2021 07:24 h
26,Madre De Dios,100.000,57387,23372,548,4518,0,0,100.0,0,12/06/2021 07:24 h
25,Moquegua,100.000,80520,29578,630,5554,0,0,100.0,0,12/06/2021 07:24 h
24,Tacna,100.000,154223,58307,1086,10918,0,0,100.0,0,12/06/2021 07:24 h
23,Tumbes,100.000,41464,80064,852,9020,0,0,100.0,0,12/06/2021 07:24 h
22,Junin,100.000,396598,285375,5383,43359,0,0,100.0,0,12/06/2021 07:24 h
21,Ica,100.000,233316,257640,3174,26143,0,0,100.0,0,12/06/2021 07:24 h
20,Ucayali,100.000,121081,130240,2300,16172,0,0,100.0,0,12/06/2021 07:24 h
19,Callao,100.000,198503,410860,2982,43374,0,0,100.0,0,12/06/2021 07:24 h
18,Europa,100.000,43564,60309,661,8793,0,0,98.419,16,12/06/2021 07:24 h
17,Oceania,100.000,678,1695,15,129,0,0,100.0,0,12/06/2021 07:24 h
15,Cusco,100.000,610521,123295,5420,38471,0,0,100.0,0,12/06/2021 07:24 h
1,La Libertad,100.000,392066,588107,7701,74802,0,0,99.979,1,12/06/2021 07:24 h
14,San Martin,100.000,241317,188747,4657,30113,0,0,100.0,0,12/06/2021 07:24 h
13,Puno,100.000,645813,77739,3496,29806,0,0,100.0,0,12/06/2021 07:24 h
12,Loreto,100.000,193765,208232,3554,27845,0,0,100.0,0,12/06/2021 07:24 h
11,Lima,100.000,2191462,4003880,32474,386172,0,0,99.76,67,12/06/2021 07:24 h
10,Huancavelica,100.000,166279,29782,2057,8731,0,0,100.0,0,12/06/2021 07:24 h
9,Huanuco,100.000,255391,121865,3897,24066,0,0,100.0,0,12/06/2021 07:24 h
8,Ancash,100.000,347457,247628,6979,47178,0,0,100.0,0,12/06/2021 07:24 h
7,Apurimac,100.000,174344,39666,2349,11045,0,0,100.0,0,12/06/2021 07:24 h
6,Africa,100.000,15,57,0,4,0,0,100.0,0,12/06/2021 07:24 h
5,Ayacucho,100.000,266824,56061,2686,14796,0,0,100.0,0,12/06/2021 07:24 h
4,Arequipa,100.000,558085,302622,3599,48401,0,0,100.0,0,12/06/2021 07:24 h
3,Pasco,100.000,82851,43922,1022,7126,0,0,100.0,0,12/06/2021 07:24 h
2,Piura,100.000,388695,584340,8213,70601,0,0,99.979,1,12/06/2021 07:24 h
30,Amazonas,100.000,121162,60451,1748,10505,0,0,100.0,0,12/06/2021 07:24 h
